id_punto,alcaldia,latitud,longitud,error_inyectado,latitud_real,longitud_real
DS-0001,Azcapotzalco,19.436978024277984,-99.05531772460711,ninguno,19.436978024277984,-99.05531772460711
DS-0002,Cuauhtémoc,19.269439219876027,-98.99543884531052,ninguno,19.269439219876027,-98.99543884531052
DS-0003,Coyoacán,,,nulos,19.479298959955692,-98.98157712108193
DS-0004,Álvaro Obregón,-99.14854682992676,19.39868401452968,coordenadas_invertidas,19.39868401452968,-99.14854682992676
DS-0005,Tlalpan,19.097088673943826,-99.14188995410377,ninguno,19.097088673943826,-99.14188995410377
DS-0006,Miguel Hidalgo,19.53781117581838,-99.03005183569447,ninguno,19.53781117581838,-99.03005183569447
DS-0007,Álvaro Obregón,19.430569850995177,-99.22421972330231,ninguno,19.430569850995177,-99.22421972330231
DS-0008,Miguel Hidalgo,19.443032152638477,99.01504705506197,signo_longitud,19.443032152638477,-99.01504705506197
DS-0009,Tlalpan,19.114056816337772,-99.15234334139303,ninguno,19.114056816337772,-99.15234334139303
DS-0010,Gustavo A. Madero,19.275192968947785,-99.30365731026589,ninguno,19.275192968947785,-99.30365731026589
DS-0011,Álvaro Obregón,19.235399012116293,-99.32117634117081,ninguno,19.235399012116293,-99.32117634117081
DS-0012,Coyoacán,19.513382494424302,-99.01320271558421,ninguno,19.513382494424302,-99.01320271558421
DS-0013,Miguel Hidalgo,19.37193256004033,-99.32777283323725,ninguno,19.37193256004033,-99.32777283323725
DS-0014,Venustiano Carranza,19.461380806635415,-99.23775542554654,ninguno,19.461380806635415,-99.23775542554654
DS-0015,Gustavo A. Madero,19.271707099413668,-99.21634798379938,ninguno,19.271707099413668,-99.21634798379938
DS-0016,Coyoacán,-99.28080222192335,19.16361936089239,coordenadas_invertidas,19.16361936089239,-99.28080222192335
DS-0017,Álvaro Obregón,19.327292393507918,-99.2244426520792,ninguno,19.327292393507918,-99.2244426520792
DS-0018,Tlalpan,19.081908628052087,-99.05292297330996,ninguno,19.081908628052087,-99.05292297330996
DS-0019,Tlalpan,19.46381558599629,-99.34412686257596,ninguno,19.46381558599629,-99.34412686257596
DS-0020,Álvaro Obregón,19.365832199561034,-99.01913063019173,ninguno,19.365832199561034,-99.01913063019173
DS-0021,Coyoacán,19.429043870042687,-99.00738079057018,ninguno,19.429043870042687,-99.00738079057018
DS-0022,Gustavo A. Madero,-99.20109537072338,19.227262984064936,coordenadas_invertidas,19.227262984064936,-99.20109537072338
DS-0023,Gustavo A. Madero,19.535349012197454,-99.28855484037574,ninguno,19.535349012197454,-99.28855484037574
DS-0024,Iztapalapa,19.4965605606611,-99.10966383682197,ninguno,19.4965605606611,-99.10966383682197
DS-0025,Cuauhtémoc,19.43919174853688,-99.30213097765403,ninguno,19.43919174853688,-99.30213097765403
DS-0026,Álvaro Obregón,19.147319353925983,-99.20403225556869,ninguno,19.147319353925983,-99.20403225556869
DS-0027,Gustavo A. Madero,192.83360501863515,-98.96662832763961,tipazo_decimal,19.283360501863516,-98.96662832763961
DS-0028,Venustiano Carranza,19.071901882893616,-98.95181421096655,ninguno,19.071901882893616,-98.95181421096655
DS-0029,Iztapalapa,19.127144746033775,-99.04115804345817,ninguno,19.127144746033775,-99.04115804345817
DS-0030,Coyoacán,-99.22561539603169,19.39152447662123,coordenadas_invertidas,19.39152447662123,-99.22561539603169
DS-0031,Iztapalapa,19.422381077953908,-99.07493398033357,ninguno,19.422381077953908,-99.07493398033357
DS-0032,Miguel Hidalgo,19.533754866217105,-99.06783745380639,ninguno,19.533754866217105,-99.06783745380639
DS-0033,Cuauhtémoc,19.212912679069078,-99.19486332193453,ninguno,19.212912679069078,-99.19486332193453
DS-0034,Gustavo A. Madero,19.235229853017437,-99.09364454616554,ninguno,19.235229853017437,-99.09364454616554
DS-0035,Venustiano Carranza,19.284777905637906,-99.34570894200972,ninguno,19.284777905637906,-99.34570894200972
DS-0036,Azcapotzalco,19.144735679542144,-99.2663769365591,ninguno,19.144735679542144,-99.2663769365591
DS-0037,Iztapalapa,19.114960752667738,-99.1399646788131,ninguno,19.114960752667738,-99.1399646788131
DS-0038,Cuauhtémoc,19.28785246311297,-99.28449947829668,ninguno,19.28785246311297,-99.28449947829668
DS-0039,Venustiano Carranza,19.163454674525443,-99.28363725284939,ninguno,19.163454674525443,-99.28363725284939
DS-0040,Álvaro Obregón,19.384906997341258,-99.01547828377991,ninguno,19.384906997341258,-99.01547828377991
DS-0041,Benito Juárez,19.268575959436166,-98.95434679892657,ninguno,19.268575959436166,-98.95434679892657
DS-0042,Azcapotzalco,19.466339098028918,-99.12761222878862,ninguno,19.466339098028918,-99.12761222878862
DS-0043,Tlalpan,19.400132551001125,-99.01437210764732,ninguno,19.400132551001125,-99.01437210764732
DS-0044,Tlalpan,35.68810297795314,139.72648578368918,outlier_geografico,19.20618332069102,-98.9538713342695
DS-0045,Benito Juárez,19.466129900697602,-99.29336164457249,ninguno,19.466129900697602,-99.29336164457249
DS-0046,Venustiano Carranza,-99.17070175469826,19.4523821787484,coordenadas_invertidas,19.4523821787484,-99.17070175469826
DS-0047,Álvaro Obregón,19.24373918951509,-99.19297091366323,ninguno,19.24373918951509,-99.19297091366323
DS-0048,Iztapalapa,-99.31798028654153,19.194164051965124,coordenadas_invertidas,19.194164051965124,-99.31798028654153
DS-0049,Tlalpan,19.39124775198749,-99.0478679308821,ninguno,19.39124775198749,-99.0478679308821
DS-0050,Gustavo A. Madero,-99.17648838907095,19.119876241804654,coordenadas_invertidas,19.119876241804654,-99.17648838907095
DS-0051,Miguel Hidalgo,19.149954101237554,99.16226922632384,signo_longitud,19.149954101237554,-99.16226922632384
DS-0052,Coyoacán,19.053681134875504,-99.2897308104747,ninguno,19.053681134875504,-99.2897308104747
DS-0053,Coyoacán,19.44346218875107,-99.27762933910765,ninguno,19.44346218875107,-99.27762933910765
DS-0054,Venustiano Carranza,19.382425428296017,-98.98715855113751,ninguno,19.382425428296017,-98.98715855113751
DS-0055,Tlalpan,0.00699621560195567,-90.04082875537277,outlier_geografico,19.402582689313167,-99.33214036441028
DS-0056,Coyoacán,19.440364515510986,-99.25685908602252,ninguno,19.440364515510986,-99.25685908602252
DS-0057,Tlalpan,19.27945788776917,-99.23317626787419,ninguno,19.27945788776917,-99.23317626787419
DS-0058,Tlalpan,19.33437059797645,-99.15392098303937,ninguno,19.33437059797645,-99.15392098303937
DS-0059,Coyoacán,19.11989849906383,-99.11542193079408,ninguno,19.11989849906383,-99.11542193079408
DS-0060,Álvaro Obregón,19.107265036767988,-99.15268400965974,ninguno,19.107265036767988,-99.15268400965974
DS-0061,Azcapotzalco,19.384201480895236,-99.31635386617724,ninguno,19.384201480895236,-99.31635386617724
DS-0062,Iztapalapa,19.285548103071566,99.2525330183777,signo_longitud,19.285548103071566,-99.2525330183777
DS-0063,Miguel Hidalgo,19.332618053240594,-99.01256464609499,ninguno,19.332618053240594,-99.01256464609499
DS-0064,Tlalpan,19.432499428708013,-99.09496451980861,ninguno,19.432499428708013,-99.09496451980861
DS-0065,Iztapalapa,19.367359160000298,-99.09034037994628,ninguno,19.367359160000298,-99.09034037994628
DS-0066,Iztapalapa,19.326789700328998,-99.08191869785946,ninguno,19.326789700328998,-99.08191869785946
DS-0067,Tlalpan,19.32960358037271,-99.04483879238418,ninguno,19.32960358037271,-99.04483879238418
DS-0068,Venustiano Carranza,19.201975049031308,-99.32675660731141,ninguno,19.201975049031308,-99.32675660731141
DS-0069,Coyoacán,19.06540891728397,-99.20335664602695,ninguno,19.06540891728397,-99.20335664602695
DS-0070,Álvaro Obregón,19.268358694616182,-99.13418902589532,ninguno,19.268358694616182,-99.13418902589532
DS-0071,Miguel Hidalgo,19.157292336409764,-99.21461740668107,ninguno,19.157292336409764,-99.21461740668107
DS-0072,Gustavo A. Madero,19.25426432186232,-99.01220845068512,ninguno,19.25426432186232,-99.01220845068512
DS-0073,Álvaro Obregón,19.476701536634085,-99.15697099656508,ninguno,19.476701536634085,-99.15697099656508
DS-0074,Coyoacán,19.16696974293267,99.04254896421625,signo_longitud,19.16696974293267,-99.04254896421625
DS-0075,Gustavo A. Madero,19.079151370844535,-99.00919379324753,ninguno,19.079151370844535,-99.00919379324753
DS-0076,Álvaro Obregón,19.190691946011,-99.1480834068386,ninguno,19.190691946011,-99.1480834068386
DS-0077,Álvaro Obregón,-98.98617910245146,19.196796878883344,coordenadas_invertidas,19.196796878883344,-98.98617910245146
DS-0078,Álvaro Obregón,19.38095825736345,-99.11515042378521,ninguno,19.38095825736345,-99.11515042378521
DS-0079,Benito Juárez,19.32851607617064,-99.00989028046651,ninguno,19.32851607617064,-99.00989028046651
DS-0080,Miguel Hidalgo,19.441949104553206,99.21376368176338,signo_longitud,19.441949104553206,-99.21376368176338
DS-0081,Azcapotzalco,90.04713829006127,-99.17924974638622,outlier_geografico,19.382156770163693,-99.1504732165874
DS-0082,Cuauhtémoc,19.253193430720035,-99.13743558359816,ninguno,19.253193430720035,-99.13743558359816
DS-0083,Coyoacán,19.45701019233302,-99.30800811364156,ninguno,19.45701019233302,-99.30800811364156
DS-0084,Gustavo A. Madero,19.133486459953854,-99.19057899731938,ninguno,19.133486459953854,-99.19057899731938
DS-0085,Miguel Hidalgo,19.06135603656693,-98.98306493097934,ninguno,19.06135603656693,-98.98306493097934
DS-0086,Gustavo A. Madero,19.09502393038782,-99.0976671038541,ninguno,19.09502393038782,-99.0976671038541
DS-0087,Tlalpan,19.411179675298225,-99.27899736702521,ninguno,19.411179675298225,-99.27899736702521
DS-0088,Gustavo A. Madero,19.280938615125695,-99.21445774575615,ninguno,19.280938615125695,-99.21445774575615
DS-0089,Coyoacán,19.130635889516803,-99.27335879613491,ninguno,19.130635889516803,-99.27335879613491
DS-0090,Cuauhtémoc,19.300522387551684,-99.34007074728056,ninguno,19.300522387551684,-99.34007074728056
DS-0091,Azcapotzalco,19.126156051356585,-98.97901581659839,ninguno,19.126156051356585,-98.97901581659839
DS-0092,Coyoacán,19.39816018753887,-99.17071706869724,ninguno,19.39816018753887,-99.17071706869724
DS-0093,Azcapotzalco,19.273078137787017,99.22698597103168,signo_longitud,19.273078137787017,-99.22698597103168
DS-0094,Miguel Hidalgo,19.240510613048244,-99.1106091233769,ninguno,19.240510613048244,-99.1106091233769
DS-0095,Miguel Hidalgo,19.20075604457394,-99.34707421748278,ninguno,19.20075604457394,-99.34707421748278
DS-0096,Tlalpan,19.365141296559443,-99.23879115735967,ninguno,19.365141296559443,-99.23879115735967
DS-0097,Venustiano Carranza,19.230906305276697,-99.06878661372045,ninguno,19.230906305276697,-99.06878661372045
DS-0098,Azcapotzalco,19.09382495965805,-99.0964920907723,ninguno,19.09382495965805,-99.0964920907723
DS-0099,Tlalpan,19.10900295106026,-98.95727762098299,ninguno,19.10900295106026,-98.95727762098299
DS-0100,Benito Juárez,-0.011832941232595017,-90.08903690537818,outlier_geografico,19.53094883227476,-99.10185691613678
DS-0101,Venustiano Carranza,19.504290345353805,99.15899765054891,signo_longitud,19.504290345353805,-99.15899765054891
DS-0102,Gustavo A. Madero,19.399853566905374,99.0454269747264,signo_longitud,19.399853566905374,-99.0454269747264
DS-0103,Miguel Hidalgo,19.18293498072976,-98.98866885121438,ninguno,19.18293498072976,-98.98866885121438
DS-0104,Miguel Hidalgo,19.53458818867386,-99.06172162131266,ninguno,19.53458818867386,-99.06172162131266
DS-0105,Azcapotzalco,19.439375451982897,-98.96471551058025,ninguno,19.439375451982897,-98.96471551058025
DS-0106,Benito Juárez,19.4084450945795,-99.03719793170472,ninguno,19.4084450945795,-99.03719793170472
DS-0107,Tlalpan,19.274680751071894,-99.00327942469524,ninguno,19.274680751071894,-99.00327942469524
DS-0108,Miguel Hidalgo,19.18612078092258,-99.30435837152655,ninguno,19.18612078092258,-99.30435837152655
DS-0109,Benito Juárez,19.09819548107675,-99.05703459880249,ninguno,19.09819548107675,-99.05703459880249
DS-0110,Benito Juárez,19.50130119827192,-99.17396452018905,ninguno,19.50130119827192,-99.17396452018905
DS-0111,Benito Juárez,19.277888144916805,-99.12875847903548,ninguno,19.277888144916805,-99.12875847903548
DS-0112,Gustavo A. Madero,19.151181682397617,-99.08835903620705,ninguno,19.151181682397617,-99.08835903620705
DS-0113,Venustiano Carranza,19.202978312075327,-98.96207395331777,ninguno,19.202978312075327,-98.96207395331777
DS-0114,Venustiano Carranza,19.339609784470948,98.95616876742736,signo_longitud,19.339609784470948,-98.95616876742736
DS-0115,Tlalpan,19.138386391469616,-99.23470870180483,ninguno,19.138386391469616,-99.23470870180483
DS-0116,Benito Juárez,19.478307142046187,-99.05649860102483,ninguno,19.478307142046187,-99.05649860102483
DS-0117,Venustiano Carranza,194.29259764917606,-99.0500065848259,tipazo_decimal,19.429259764917607,-99.0500065848259
DS-0118,Iztapalapa,19.40973147797547,-99.21140285547477,ninguno,19.40973147797547,-99.21140285547477
DS-0119,Iztapalapa,19.266046519887553,-99.3004520900543,ninguno,19.266046519887553,-99.3004520900543
DS-0120,Tlalpan,89.96858144459402,-99.16643052426298,outlier_geografico,19.36365442035122,-99.33362121588571
DS-0121,Tlalpan,19.34204898445637,-99.03906274898833,ninguno,19.34204898445637,-99.03906274898833
DS-0122,Venustiano Carranza,19.37492330077741,-99.15412010327324,ninguno,19.37492330077741,-99.15412010327324
DS-0123,Iztapalapa,19.092222160569946,-98.95578393220204,ninguno,19.092222160569946,-98.95578393220204
DS-0124,Gustavo A. Madero,19.257903701085304,-99.16401061752254,ninguno,19.257903701085304,-99.16401061752254
DS-0125,Tlalpan,19.070807086930948,-98.95883320837046,ninguno,19.070807086930948,-98.95883320837046
DS-0126,Benito Juárez,19.29699540962226,-99.18536959912237,ninguno,19.29699540962226,-99.18536959912237
DS-0127,Coyoacán,19.214930606166394,-99.03252713977601,ninguno,19.214930606166394,-99.03252713977601
DS-0128,Gustavo A. Madero,19.122262094433026,-99.31607229107526,ninguno,19.122262094433026,-99.31607229107526
DS-0129,Cuauhtémoc,19.101701483861277,-99.1278153159449,ninguno,19.101701483861277,-99.1278153159449
DS-0130,Coyoacán,-99.0291760852057,19.343822286088855,coordenadas_invertidas,19.343822286088855,-99.0291760852057
DS-0131,Tlalpan,-98.98011933311204,19.135296484268444,coordenadas_invertidas,19.135296484268444,-98.98011933311204
DS-0132,Venustiano Carranza,19.5125600591884,-99.02096676375302,ninguno,19.5125600591884,-99.02096676375302
DS-0133,Iztapalapa,19.3405305698502,-99.33521170911952,ninguno,19.3405305698502,-99.33521170911952
DS-0134,Coyoacán,19.22343490226742,-99.2009190634773,ninguno,19.22343490226742,-99.2009190634773
DS-0135,Álvaro Obregón,19.34545774574071,-99.33052061107445,ninguno,19.34545774574071,-99.33052061107445
DS-0136,Gustavo A. Madero,19.061401935514848,-99.30628708355417,ninguno,19.061401935514848,-99.30628708355417
DS-0137,Iztapalapa,19.529279606620722,-99.07987774853301,ninguno,19.529279606620722,-99.07987774853301
